# id	name	entry	idglob	caller	site
329	l_finnish	143393E90	142ADF970	1400831C0	14008881C
330	actorfile	143393ED8	142ADF990	1400831C0	140088855
331	idle	143393F20	142ADF9B0	1400831C0	14008888E
332	attack	143393F68	142ADF9D0	1400831C0	1400888C7
333	move	143393FB0	142ADF9F0	1400831C0	140088900
334	OverlappingElementsBoxType	143393FF8	142ADFA0C	1400831C0	140088939
335	luaClick	143394040	142ADFA30	1400831C0	140088972
336	tileSpriteType	143394088	142ADFA4C	1400831C0	1400889AB
337	retargeting	1433940D0	142ADFA70	1400831C0	1400889E4
338	attach	143394118	142ADFA8C	1400831C0	140088A1D
339	PieChartType	143394160	142ADFAB0	1400831C0	140088A56
340	BarGraphType	1433941A8	142ADFAD0	1400831C0	140088A8F
341	billboardType	1433941F0	142ADFAEC	1400831C0	140088AC8
342	rotation	143394238	142ADFB0C	1400831C0	140088B01
343	offset2	143394280	142ADFB2C	1400831C0	140088B3A
344	offset3	1433942C8	142ADFB50	1400831C0	140088B73
345	offset4	143394310	142ADFB70	1400831C0	140088BAC
346	font_size	143394358	142ADFB8C	1400831C0	140088BE5
347	anisotropic_filtering	1433943A0	142ADFBAC	1400831C0	140088C1E
348	multi_sampling	1433943E8	142ADFBCC	1400831C0	140088C57
349	scrollingSprite	143394430	142ADFBEC	1400831C0	140088C90
350	node	143394478	142ADFC10	1400831C0	140088CC9
351	attachId	1433944C0	142ADFC2C	1400831C0	140088D02
352	rangeLimitMin	143394508	142ADFC50	1400831C0	140088D3B
353	rangeLimitMax	143394550	142ADFC70	1400831C0	140088D74
354	rangeLimitMinIcon	143394598	142ADFC90	1400831C0	140088DAD
355	rangeLimitMaxIcon	1433945E0	142ADFCB0	1400831C0	140088DE6
356	useRangeLimit	143394628	142ADFCD0	1400831C0	140088E1F
357	none	143394670	1427D5FD4	1400831C0	140088E58
358	BarChartType	1433946B8	142ADFD04	1400831C0	140088E91
359	long_float	143394700	142ADFD24	1400831C0	140088ECA
