# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
NOperativeMissions::CQuietIntelNetwork	0x142a1ffc8	0x141a31840	0x141a31500	47
NOperativeMissions::CRootOutResistance	0x142a201b8	0x141a31840	0x141a31500	38
NOperativeMissions::CStateBased	0x142a1f488	0x141a31840	0x141a31500	21
NProject::CBaseProjectState	0x142a2ffb0	0x141a37cb0	0x141a37790	10
NProject::CNarrative	0x14271b0b8	0x14012a2c0	0x140a91f50	9
NProject::CProgram	0x1429717e0	0x1414443e0	0x141443710	14
NProject::CProgramConsumer	0x142a2c090	0x141a05ad0	0x141a05a90	156
NProject::CProgramStatus	0x142971858	0x140e78830	0x140e77850	77
NProject::CProject	0x142982ea0	0x140fe5c00	0x140fe4c50	94
NProject::CProjectPool	0x1429c6e28	0x141483890	0x141482cb0	40
NProject::CProjectStateMachine	0x142a300b8	0x141a37cd0	0x141a37880	127
NProject::CPrototypeProjectState	0x142a30060	0x141a37d50	0x141a37aa0	10
NProject::CPrototypeRewardOption	0x14271b108	0x14012a2c0	0x140a923d0	9
NProject::CSimpleProjectState	0x142a30008	0x141a37cb0	0x141a37790	10
NProject::CSpecializationTemplate	0x142943430	0x14012a2c0	0x140abb1c0	19
NRaids::CBattalionTypeRequirements	0x142940bb8	0x14012a2c0	0x141590ac0	9
NRaids::CCountryRaidStatus	0x1429ccd88	0x1414eacf0	0x1414ea3b0	52
NRaids::CEquipmentRequirements	0x142940b68	0x14012a2c0	0x141590ca0	9
NRaids::CRaidInstance	0x142983a78	0x140fef9c0	0x140fee810	10
NRaids::CRaidSuccessFactors	0x142940cb8	0x14012a2c0	0x141591b70	9
NRaids::CRaidSuccessLevels	0x142940c68	0x14012a2c0	0x141591bc0	9
NRaids::CRaidSystem	0x142971f98	0x140e86cc0	0x140e86ab0	9
NRaids::CRaidTargetCooldownStatus	0x1429ccd38	0x1414eb1f0	0x1414ea490	9
NRaids::NNet::CCancelRaidCommand	0x142a417e0	0x14226a110	0x142269e60	24
NRaids::NNet::CCreateRaidCommand	0x142a41010	0x14226a110	0x142269e60	24
NRaids::NNet::CExecuteRaidCommand	0x142a411a0	0x14226a110	0x142269e60	24
NRaids::NNet::CRemoveRaidCommand	0x142a41970	0x14226a110	0x142269e60	80
NRaids::NNet::CSetRaidAutoComplete	0x142a41330	0x14226a110	0x142269e60	24
NRaids::NNet::CSetRaidAutoLaunchOption	0x142a414c0	0x14226a110	0x142269e60	24
NRaids::NNet::CSetRaidRiskLevelCommand	0x142a41650	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCCancelRaidCommand::?$CRaidInstanceCommand	0x142a41718	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCExecuteRaidCommand::?$CRaidInstanceCommand	0x142a410d8	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCRemoveRaidCommand::?$CRaidInstanceCommand	0x142a418a8	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCSetRaidAutoComplete::?$CRaidInstanceCommand	0x142a41268	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCSetRaidAutoLaunchOption::?$CRaidInstanceCommand	0x142a413f8	0x14226a110	0x142269e60	24
NRaids::NNet::NRaids::NNet::VCSetRaidRiskLevelCommand::?$CRaidInstanceCommand	0x142a41588	0x14226a110	0x142269e60	24
NWarScoreDistributionHelper::CDistributionForOneWinner	0x142961d88	0x1419848b0	0x1419846c0	119
SInvasionReport	0x1429d2950	0x1415165c0	0x141516410	10
SModifierDefinitonReader	0x1427dda50	0x14012a2c0	0x140610b80	15
ShowScriptedDiplomaticActionSendPopupCommand	0x142997128	0x14226a110	0x142269e60	24
V12::NCareerProfile::VCCareerProfileMedal::?$TNullObject	0x1427e5710	0x14012a2c0	0x1406ac220	13
V12::NCareerProfile::VCCareerProfileRibbon::?$TNullObject	0x1427e5b68	0x14012a2c0	0x1406b0660	23
V12::NCountry::VCMetadata::?$TNullObject	0x1427ea880	0x14012a2c0	0x140720c10	9
V12::NDLC::VCMetadata::?$TNullObject	0x142936458	0x14012a2c0	0x1409cb9b0	91
V1::VCAIStrategyDatabaseEntry::?$TNullObject	0x1427e1b48	0x14012a2c0	0x140660850	9
V1::VCAbility::?$TNullObject	0x1427ddf10	0x14012a2c0	0x14100b170	29
V1::VCAdvisorTemplate::?$TNullObject	0x1427e62a8	0x1413e0350	0x1413dfa70	9
V1::VCAgencyUpgradeBranch::?$TNullObject	0x1427df3f0	0x14012a2c0	0x140625780	9
V1::VCBookmark::?$TNullObject	0x1427e3ff0	0x14012a2c0	0x14067db80	14
V1::VCBuildingSpawnPoint::?$TNullObject	0x1427e43a8	0x14012a2c0	0x1414df9b0	110
V1::VCCountryLeaderTemplate::?$TNullObject	0x1427e62f8	0x14012a2c0	0x1413f35f0	43
V1::VCCountryLeaderTrait::?$TNullObject	0x1427ea718	0x14012a2c0	0x14071fc50	22
V1::VCDecisionCategory::?$TNullObject	0x1427eb670	0x14012a2c0	0x1407332b0	210
V1::VCDifficultySetting::?$TNullObject	0x142935a98	0x14012a2c0	0x1409b8e90	15
V1::VCEquipmentUpgrade::?$TNullObject	0x142938040	0x14012a2c0	0x141538b40	9
V1::VCIdeaCategory::?$TNullObject	0x14293c470	0x14012a2c0	0x140fd59e0	9
V1::VCIdeaGroupType::?$TNullObject	0x14293c4c0	0x14012a2c0	0x140fd5de0	9
V1::VCIdeology::?$TNullObject	0x14293c950	0x14012a2c0	0x1411916c0	9
V1::VCIdeologyGroup::?$TNullObject	0x14293c900	0x14012a2c0	0x141191720	9
V1::VCMessageType::?$TNullObject	0x14293e168	0x1415788f0	0x141578470	29
V1::VCMessageTypeSettings::?$TNullObject	0x14293e118	0x141578a80	0x141578810	9
V1::VCOnActionList::?$TNullObject	0x14293ec50	0x14012a2c0	0x140a7a1c0	116
V1::VCOpinionModifier::?$TNullObject	0x14293f7e8	0x14012a2c0	0x140a822b0	53
V1::VCPowerBalance::?$TNullObject	0x14296fe48	0x140e58c50	0x140e57540	12
V1::VCPowerBalanceRange::?$TNullObject	0x1429401a0	0x14012a2c0	0x140a8ece0	30
V1::VCPowerBalanceSide::?$TNullObject	0x142940150	0x14012a2c0	0x140a8ed10	9
V1::VCPowerBalanceTemplate::?$TNullObject	0x142940100	0x14012a2c0	0x140a8edd0	9
V1::VCStateCategory::?$TNullObject	0x1429ba980	0x14012a2c0	0x1413c4d50	162
V1::VCStateTemplate::?$TNullObject	0x142943728	0x140abf5d0	0x140abe640	53
V1::VCStaticModifier::?$TNullObject	0x1427ddad0	0x140612640	0x1406104f0	88
V1::VCStrategicRegionTemplate::?$TNullObject	0x142943938	0x1415a6f40	0x1415a5cc0	18
V1::VCStrategicResource::?$TNullObject	0x142943b48	0x14012a2c0	0x140bcc670	49
V1::VCSubUnitCategory::?$TNullObject	0x142943e70	0x14012a2c0	0x1424bec40	9
V1::VCTerrainGraphics::?$TNullObject	0x142944908	0x14012a2c0	0x14143f220	32
V1::VCTerrainType::?$TNullObject	0x1429448b8	0x14012a2c0	0x14143f460	9
V1::VCUnitLeaderSkill::?$TNullObject	0x142945910	0x14012a2c0	0x140aeba20	37
V1::VCUnitLeaderTrait::?$TNullObject	0x142945cf8	0x14012a2c0	0x140aebc20	128
V1::VCUnitMedal::?$TNullObject	0x142945600	0x14012a2c0	0x14144b920	51
V1::VCWarGoalType::?$TNullObject	0x14293bfa8	0x14012a2c0	0x140a3b930	9
