# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CDiplomaticAction	0x1427492f0	0x141141470	0x14113e7a0	67
CDiplomaticActionCommand	0x14298b708	0x14226a110	0x142269e60	34
CDisbandTheaterGroupCommand	0x142a32860	0x14226a110	0x142269e60	24
CDisengageFromNavalCombatCommand	0x1429b07b8	0x14226a110	0x142269e60	24
CDismantleFacilityCommand	0x142a907f8	0x14226a110	0x142269e60	24
CDismissOperativeCommand	0x142a2e2a0	0x14226a110	0x142269e60	24
CDispatchNavalCombatResultsCommand	0x142993578	0x14226a110	0x142269e60	24
CDivisionTemplateData	0x14294f560	0x140ba6a40	0x140ba29f0	9
CDockingRightsAction	0x142a36640	0x141141470	0x14113e7a0	67
CDockingRightsRelation	0x142a21928	0x140d2daa0	0x140d2b100	23
CDominanceValues	0x142984bf0	0x1419de3f0	0x1419de330	9
CDonePeaceConferenceCommand	0x142a84508	0x14226a110	0x142269e60	24
CDropContinuousFocusCommand	0x142996778	0x14226a110	0x142269e60	24
CDropCurrentNationalFocusCommand	0x142996520	0x14226a110	0x142269e60	24
CDuplicateArchetypeDefinition	0x142937ef0	0x140c9d930	0x140c98dd0	9
CDynamicEquipmentGroup	0x142a1aab8	0x14012a2c0	0x140a0b160	323
CDynamicIntelSourcePool	0x14295f048	0x14197ec30	0x14197ebf0	9
CDynamicModifier	0x1427d6218	0x14012a2c0	0x1406100e0	19
CDynamicModifierContainer	0x1427d62b8	0x1406125e0	0x140610460	3826
CEditAreaDefenseStateCommand	0x142a0c7e0	0x14226a110	0x142269e60	24
CEmbargoAction	0x14298fc88	0x141141470	0x14113e7a0	1821
CEmbargoRelation	0x142960b60	0x140d2daa0	0x140d2b100	438
CEndTurnPeaceConferenceCommand	0x142a845d0	0x14226a110	0x142269e60	45
CEquipmentArcheTypePool	0x142789c30	0x141012d40	0x141011320	9
CEquipmentBonus	0x1427189b0	0x140632de0	0x140632830	10
CEquipmentFilter	0x142937f40	0x14012a2c0	0x141536390	9
CEquipmentGraphicPool	0x1429389f0	0x14012a2c0	0x140a06210	62
CEquipmentGraphicPoolTypeMap	0x1427194f8	0x14012a2c0	0x140a06cf0	9
CEquipmentGroup	0x142719610	0x14012a2c0	0x140a0b160	10
CEquipmentInFieldLogger	0x1429b3ac0	0x14012a2c0	0x14136e490	10
CEquipmentModuleConversion	0x1429d4480	0x14012a2c0	0x14152fcd0	27
CEquipmentModuleSlot	0x14295b788	0x14012a2c0	0x141645f30	9
CEquipmentProductionLicense	0x1429c0c38	0x14143b6d0	0x14143ac70	9
CEquipmentProductionLine	0x142a1c570	0x142220340	0x14221fc10	33
CEquipmentStats	0x142718958	0x140632fb0	0x1406329d0	10
CEquipmentStatsGroup	0x142937df8	0x14012a2c0	0x140632a60	10
CEquipmentUpgrade	0x1429d4e18	0x14012a2c0	0x141538b40	146
CEquipmentUpgrade::CUpgradeCost	0x1429d4dc8	0x14012a2c0	0x141538d20	9
CEquipmentUpgradesInstance	0x1427c1af8	0x140f8f870	0x140f8f410	9
CEquipmentVariant	0x142951608	0x140be3c80	0x140bde4c0	244
CEquipmentVariantPool	0x142749270	0x141012db0	0x1410113b0	15
CEquipmentVariantReference	0x142789c80	0x1414285c0	0x1414284f0	9
CEventOption	0x142999b48	0x14012a2c0	0x141539ce0	9
CEventScope	0x1427d43e8	0x14053bda0	0x140538f20	9
CExecuteButtonCommand	0x142a4bf10	0x14226a110	0x142269e60	92
CExecuteScriptedWindowEffect	0x142996ed0	0x14226a110	0x142269e60	24
CExileDivisionsTransfer	0x1429d2518	0x141513970	0x141512dc0	73
CFEXAir	0x142a212e8	0x14197d990	0x14197cbf0	67
CFEXGroup	0x142a59ac8	0x141c6d0d0	0x141c6c970	24
CFEXMember	0x142a20f88	0x1419760b0	0x1419748f0	19
CFEXMember::CLastTargetInfo	0x142a20e98	0x1419763f0	0x141974d50	29
CFleet	0x142962a18	0x140d5ebc0	0x140d582b0	10
CFocusInlayWindow	0x14293e478	0x14012a2c0	0x140a6cd90	115
